bbl,bin,address,latitude,longitude,cooling_towers,water_tanks,total_equipment,has_building_outline
1012630007,1034472.0,55 WEST 47 STREET,40.7578926,-73.9809053,0,1,1,True
1012630067,1034501.0,64 WEST 48 STREET,40.7581973,-73.9808727,0,1,1,True
1010150049,1024707.0,234 WEST 44 STREET,40.75777,-73.9876264,0,1,1,True
1001500038,1001649.0,291 BROADWAY,40.7149551,-74.0060854,0,1,1,True
1000240029,1000819.0,30 BROAD STREET,40.706273,-74.0116535,1,0,1,True
1008040001,1015097.0,319 7 AVENUE,40.747409,-73.9928289,0,1,1,True
1000210001,1000808.0,61 BROADWAY,40.7071046,-74.0128367,1,0,1,True
1000220024,1000813.0,50 BROADWAY,40.7062318,-74.0124398,1,0,1,True
1008610064,1017000.0,148 MADISON AVENUE,40.7464722,-73.9842505,0,1,1,True
1008320001,1079187.0,856 AVENUE OF THE AMER,40.7472111,-73.9889167,0,1,1,True
1008110031,1080606.0,1350 BROADWAY,40.7509466,-73.9873714,1,0,1,True
1012710038,1077363.0,712 5 AVENUE,40.7622941,-73.975103,1,0,1,True
1012600028,1034225.0,15 WEST 44 STREET,40.7553153,-73.9806317,0,1,1,True
1005440001,1080086.0,393 LAFAYETTE STREET,40.7279185,-73.992647,0,1,1,True
1010100021,1023725.0,119 WEST 57 STREET,40.765119,-73.9779503,0,1,1,True
1005220001,1008209.0,610 BROADWAY,40.7255527,-73.996136,1,0,1,True
1008130055,1015262.0,1385 BROADWAY,40.7528624,-73.9878366,0,1,1,True
1012980023,1036162.0,425 LEXINGTON AVENUE,40.7522455,-73.974948,1,0,1,True
1006970056,1089424.0,536 WEST 26 STREET,40.7502692,-74.0049734,1,0,1,True
1008690020,1017589.0,271 MADISON AVENUE,40.7510745,-73.980189,0,1,1,True
1012730012,1035066.0,37 WEST 57 STREET,40.764103,-73.9759471,1,0,1,True
1008680008,1017227.0,5 EAST 38 STREET,40.7509787,-73.9818096,0,1,1,True
1013190016,1037589.0,235 EAST 45 STREET,40.7522365,-73.9713748,1,0,1,True
